"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",705.648416204561,705.897454357474,706.817714072939,11061.3,0.95,683.94946488286,725.696757247267,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1026.08979447975,1026.5756553668,1022.55221622921,10761.2,0.95,976.013477356965,1075.44452471759,NA,NA,NA,NA,NA,NA,NA
"muDiff",320.441378275186,320.870348989553,318.4056222376,12061.4,0.95,267.380709640214,373.389476126797,0,100,-0.5,0.5,0,0,100
"sigma[1]",81.1337055679423,80.4321964287675,78.1921236795565,9007.2,0.95,61.1352011692002,102.244438296181,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",200.965725797533,199.715096469374,197.136601521598,9677.9,0.95,156.317927768268,250.880659152092,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",119.832020229591,118.953968702472,119.23260111819,12676.8,0.95,76.2362267447102,166.798681250543,0,100,-0.5,0.5,0,0,100
"nu",3.36914777974853,3.1551613934815,2.8644534842491,8180.2,0.95,1.75634601179355,5.4453377234907,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.50941362604619,0.499021579142337,0.476884153498655,8457.4,0.95,0.277314101945773,0.754607758929404,NA,NA,NA,NA,NA,NA,NA
"effSz",2.11969240615775,2.10457601533543,2.05533289499357,9331.1,0.95,1.46866999905396,2.76082088212275,0,100,-0.1,0.1,0,0,100
